date,key,value
2024-08-01T00:00:00Z,JPN225,0
2024-08-01T00:00:00Z,SPX500,0
2024-08-01T00:00:00Z,UK100,0
2024-08-01T00:00:00Z,GER30,0
2024-08-01T00:00:00Z,FRA40,0
2024-08-01T00:00:00Z,ESP35,0
2024-08-01T00:00:00Z,HKG33,0
2024-08-01T00:00:00Z,AUS200,0
2024-08-01T01:00:00Z,JPN225,-0.617
2024-08-01T01:00:00Z,SPX500,0.02
2024-08-01T01:00:00Z,UK100,-0.309
2024-08-01T01:00:00Z,GER30,-0.489
2024-08-01T01:00:00Z,FRA40,-0.468
2024-08-01T01:00:00Z,ESP35,-0.841
2024-08-01T01:00:00Z,HKG33,-0.268
2024-08-01T01:00:00Z,AUS200,-0.025
2024-08-01T02:00:00Z,JPN225,0.589
2024-08-01T02:00:00Z,SPX500,0.121
2024-08-01T02:00:00Z,UK100,-0.39
2024-08-01T02:00:00Z,GER30,-0.216
2024-08-01T02:00:00Z,FRA40,-0.181
2024-08-01T02:00:00Z,ESP35,-0.098
2024-08-01T02:00:00Z,HKG33,0.116
2024-08-01T02:00:00Z,AUS200,-0.049
2024-08-01T03:00:00Z,JPN225,0.029
2024-08-01T03:00:00Z,SPX500,0.04
2024-08-01T03:00:00Z,UK100,0.276
2024-08-01T03:00:00Z,GER30,0.301
2024-08-01T03:00:00Z,FRA40,0.385
2024-08-01T03:00:00Z,ESP35,0.235
2024-08-01T03:00:00Z,HKG33,0
2024-08-01T03:00:00Z,AUS200,0.221
2024-08-01T04:00:00Z,JPN225,-0.341
2024-08-01T04:00:00Z,SPX500,-0.027
2024-08-01T04:00:00Z,UK100,0.213
2024-08-01T04:00:00Z,GER30,0.197
2024-08-01T04:00:00Z,FRA40,0.119
2024-08-01T04:00:00Z,ESP35,0.454
2024-08-01T04:00:00Z,HKG33,0.584
2024-08-01T04:00:00Z,AUS200,-0.123
2024-08-01T05:00:00Z,JPN225,0.188
2024-08-01T05:00:00Z,SPX500,0.085
2024-08-01T05:00:00Z,UK100,-0.173
2024-08-01T05:00:00Z,GER30,-0.4
2024-08-01T05:00:00Z,FRA40,-0.371
2024-08-01T05:00:00Z,ESP35,-0.213
2024-08-01T05:00:00Z,HKG33,-0.419
2024-08-01T05:00:00Z,AUS200,-0.025
2024-08-01T06:00:00Z,JPN225,-0.238
2024-08-01T06:00:00Z,SPX500,-0.333
2024-08-01T06:00:00Z,UK100,0.182
2024-08-01T06:00:00Z,GER30,-0.011
2024-08-01T06:00:00Z,FRA40,-0.108
2024-08-01T06:00:00Z,ESP35,0.016
2024-08-01T06:00:00Z,HKG33,-0.225
2024-08-01T06:00:00Z,AUS200,-0.282
2024-08-01T07:00:00Z,JPN225,-0.984
2024-08-01T07:00:00Z,SPX500,-0.042
2024-08-01T07:00:00Z,UK100,-0.002
2024-08-01T07:00:00Z,GER30,0.096
2024-08-01T07:00:00Z,FRA40,0.08
2024-08-01T07:00:00Z,ESP35,0.002
2024-08-01T07:00:00Z,HKG33,-0.081
2024-08-01T07:00:00Z,AUS200,-0.517
2024-08-01T08:00:00Z,JPN225,-0.189
2024-08-01T08:00:00Z,SPX500,-0.224
2024-08-01T08:00:00Z,UK100,-1.139
2024-08-01T08:00:00Z,GER30,-1.223
2024-08-01T08:00:00Z,FRA40,-0.998
2024-08-01T08:00:00Z,ESP35,-1.347
2024-08-01T08:00:00Z,HKG33,0.075
2024-08-01T08:00:00Z,AUS200,-0.124
2024-08-01T09:00:00Z,JPN225,0.285
2024-08-01T09:00:00Z,SPX500,0.257
2024-08-01T09:00:00Z,UK100,-0.128
2024-08-01T09:00:00Z,GER30,-0.064
2024-08-01T09:00:00Z,FRA40,-0.102
2024-08-01T09:00:00Z,ESP35,0.026
2024-08-01T09:00:00Z,HKG33,0.048
2024-08-01T09:00:00Z,AUS200,0.087
2024-08-01T10:00:00Z,JPN225,0.085
2024-08-01T10:00:00Z,SPX500,0.07
2024-08-01T10:00:00Z,UK100,-0.073
2024-08-01T10:00:00Z,GER30,-0.102
2024-08-01T10:00:00Z,FRA40,-0.059
2024-08-01T10:00:00Z,ESP35,-0.148
2024-08-01T10:00:00Z,HKG33,-0.022
2024-08-01T10:00:00Z,AUS200,0.074
2024-08-01T11:00:00Z,JPN225,0.32
2024-08-01T11:00:00Z,SPX500,-0.058
2024-08-01T11:00:00Z,UK100,0.073
2024-08-01T11:00:00Z,GER30,-0.1
2024-08-01T11:00:00Z,FRA40,0.012
2024-08-01T11:00:00Z,ESP35,-0.132
2024-08-01T11:00:00Z,HKG33,-0.006
2024-08-01T11:00:00Z,AUS200,-0.136
2024-08-01T12:00:00Z,JPN225,0.329
2024-08-01T12:00:00Z,SPX500,0.18
2024-08-01T12:00:00Z,UK100,0.036
2024-08-01T12:00:00Z,GER30,-0.261
2024-08-01T12:00:00Z,FRA40,-0.177
2024-08-01T12:00:00Z,ESP35,-0.505
2024-08-01T12:00:00Z,HKG33,-0.15
2024-08-01T12:00:00Z,AUS200,0.161
2024-08-01T13:00:00Z,JPN225,-0.491
2024-08-01T13:00:00Z,SPX500,0.086
2024-08-01T13:00:00Z,UK100,0.308
2024-08-01T13:00:00Z,GER30,0.3
2024-08-01T13:00:00Z,FRA40,0.238
2024-08-01T13:00:00Z,ESP35,0.381
2024-08-01T13:00:00Z,HKG33,-0.689
2024-08-01T13:00:00Z,AUS200,-0.235
2024-08-01T14:00:00Z,JPN225,-1.32
2024-08-01T14:00:00Z,SPX500,-1.18
2024-08-01T14:00:00Z,UK100,0.012
2024-08-01T14:00:00Z,GER30,-0.033
2024-08-01T14:00:00Z,FRA40,-0.054
2024-08-01T14:00:00Z,ESP35,0.352
2024-08-01T14:00:00Z,HKG33,-0.192
2024-08-01T14:00:00Z,AUS200,-0.893
