magnitude,longitude,latitude
1.84,-155.238662719727,19.382833480835
1.5,-146.7384,61.2979
2.05,-155.490005493164,19.2360000610352
0.5,-153.1008,59.8042
2.02,-155.367828369141,19.1509990692139
2.51,-155.256332397461,19.3813323974609
1.9,-154.9442,57.9332
1.91999996,-155.253005981445,19.3858337402344
4.4,-74.792,-15.9713
1.9,-103.659,31.045
1.77999997,-155.488998413086,19.1981658935547
5,-176.3275,-30.0548
1.54,-121.068168640137,35.655834197998
1.9,-152.5605,60.111
4.7,-74.7936,-15.952
2.1,-152.5982,60.8522
0.64,-122.790168762207,38.8388328552246
2.67,-155.247329711914,19.3888339996338
7.2,-74.4447,-15.8106
1.57,-121.01016998291,36.8979988098145
1.07,-117.2138333,34.014
0.78,-122.799667358398,38.8371658325195
1.73000002,-155.248504638672,19.388334274292
0.68,-122.408,46.357
2.1500001,-155.483001708984,19.2141666412354
1.2,-149.71,61.7544
1.9,-152.2573,61.4176
1.77,-122.801170349121,38.8339996337891
3.3,-154.16,58.9752
4.8,48.49,38.7416
1.6,-117.9414,38.0851
1.76,-155.259994506836,19.3986663818359
0.49,-122.815498352051,38.8231658935547
1.01,-116.316,32.9888333
0.89,-155.2505,19.3861666666667
1.65,-120.854499816895,36.3081665039062
1.8,-155.8965,58.2177
0.75,-155.233,19.3773333333333
1.5,-151.2364,61.5245
2.02,-122.569664001465,38.2215003967285
0.72,-155.243833333333,19.3861666666667
0.34,-116.8016667,33.394
4.8,128.8558,27.1265
0.53,-155.238,19.3828333333333
2.24,-155.238166666667,19.3823333333333
1.98,-155.241333333333,19.3903333333333
1.92,-155.235833333333,19.3825
2.49,-155.238833333333,19.3811666666667
0.77,-122.806831359863,38.835334777832
2.01,-155.233,19.3801666666667
1.63,-155.242166666667,19.3843333333333
1.76999998,-155.243835449219,19.3848323822021
1.83,-155.222666666667,19.3716666666667
1.74,-155.251159667969,19.386833190918
1.79,-155.255172729492,19.3953342437744
4.9,141.976,37.5886
1.70000005,-155.256332397461,19.3878326416016
1.76,-155.2425,19.3845
3.43,-155.240833333333,19.3868333333333
2.68,-66.773,18.0285
2.94,-155.246166666667,19.3896666666667
1.72000003,-155.34700012207,19.2743339538574
1.78,-155.286163330078,19.3780002593994
1.27,-117.2516667,33.5631667
1.6,-103.997,31.608
1.2,-152.4928,62.3689
2,-103.993,31.609
2.1,-103.997,31.608
1.03,-122.728668212891,38.7586669921875
1.82,-155.264495849609,19.405834197998
0.5,-149.0777,64.7291
1.54,-155.2655,19.4021666666667
2.72,-121.205665588379,36.8071670532227
1.3,-119.4191667,34.4396667
1.82,-155.718505859375,19.5383338928223
1.3,-147.7331,61.2739
2,-103.928,31.597
1.71000004,-155.253173828125,19.3810005187988
1.75999999,-155.206832885742,19.3403339385986
1.5,-150.3888,60.8708
0.77,-122.80249786377,38.835334777832
1.02,-122.801002502441,38.8361663818359
1.52,-117.238,34.0226667
1.4,-152.5944,59.6824
2.15,-119.4015,34.411
